category,config_desc,seed,num_drones,comm_range,A_reconnected,A_first_reconnect_rel_time,A_final_sum_rate_mbps,A_failure_mode,B_reconnected,B_first_reconnect_rel_time,B_final_sum_rate_mbps,B_failure_mode
3. Scale Test (Large Swarm),"N=21, d=500m (20 hops, Rc=28m), Fail agent 10 at t=10 (Center)",2023,21,28.0,False,,3073.730952059078,Failed to Reconnect (Insufficient Span/Reach),False,,2738.0726446735853,Failed to Reconnect (Insufficient Span/Reach)
3. Scale Test (Large Swarm),"N=21, d=500m (20 hops, Rc=28m), Fail agent 5 at t=10 (Endpoint-near)",2024,21,28.0,False,103.0,3070.671696857571,Reconnect-then-Drift (17 post-reconnect disconnects),False,,2573.458234197683,Failed to Reconnect (Insufficient Span/Reach)
4. Non-Collinear Corridor,"N=9, d=200m, 45-deg Diagonal B=(141.4, 141.4), Fail agent 5 at t=10",2031,9,28.0,False,,522.3327658312204,Failed to Reconnect (Insufficient Span/Reach),False,,0.0,Failed to Reconnect (Insufficient Span/Reach)
4. Non-Collinear Corridor,"N=9, d=200m, 53.1-deg Offset B=(120.0, 160.0), Fail agent 4 at t=10",2032,9,28.0,False,,356.7742487001367,Failed to Reconnect (Insufficient Span/Reach),False,,355.51313325816875,Failed to Reconnect (Insufficient Span/Reach)
4. Non-Collinear Corridor,"N=11, d=200m, 45-deg Diagonal B=(141.4, 141.4), Fail agent 6 at t=10",2033,11,28.0,True,27.0,1584.4694279926944,Success (Stable),True,24.0,1584.4521666470703,Success (Stable)
4. Non-Collinear Corridor,"N=11, d=200m, 60-deg Offset B=(100.0, 173.2), Fail agent 5 at t=10",2034,11,28.0,True,27.0,1584.514007211859,Success (Stable),True,23.0,1584.500529749987,Success (Stable)
5. Failure Timing Extremes,"N=9, d=200m, Extreme Early Failure at t=1, Fail agent 5",2041,9,28.0,False,,189.70611907364346,Failed to Reconnect (Insufficient Span/Reach),False,,189.27500036736419,Failed to Reconnect (Insufficient Span/Reach)
5. Failure Timing Extremes,"N=11, d=200m, Extreme Early Failure at t=1, Fail agent 6",2042,11,28.0,True,27.0,1584.4902172396232,Success (Stable),True,22.0,1584.4369209694505,Success (Stable)
5. Failure Timing Extremes,"N=9, d=200m, Extreme Late Failure at t=140 (10 ticks to cutoff), Fail agent 5",2043,9,28.0,False,,1057.068319988129,Failed to Reconnect (Insufficient Span/Reach),False,,1056.7930701234573,Failed to Reconnect (Insufficient Span/Reach)
5. Failure Timing Extremes,"N=11, d=200m, Extreme Late Failure at t=140 (10 ticks to cutoff), Fail agent 6",2044,11,28.0,False,,1425.9096636662978,Failed to Reconnect (Insufficient Span/Reach),False,,1427.8728669675324,Failed to Reconnect (Insufficient Span/Reach)
6. Tight-Margin Geometry,"N=9, d=185m (7 hops remaining, 26.43m/hop, margin=1.57m), Fail agent 5 at t=10",2051,9,28.0,True,62.0,1219.8805708954853,Success (Stable),True,59.0,1219.150487616709,Success with Oscillation (3 transient drops)
6. Tight-Margin Geometry,"N=9, d=189m (7 hops remaining, 27.00m/hop, margin=1.00m), Fail agent 4 at t=10",2052,9,28.0,True,72.0,1215.66344546828,Success (Stable),True,74.0,1215.8050778549148,Success (Stable)
6. Tight-Margin Geometry,"N=9, d=192m (7 hops remaining, 27.43m/hop, margin=0.57m), Fail agent 5 at t=10",2053,9,28.0,True,69.0,1213.4186496019531,Success with Oscillation (23 transient drops),True,65.0,1213.3351293669446,Success with Oscillation (47 transient drops)
6. Tight-Margin Geometry,"N=9, d=195m (7 hops remaining, 27.86m/hop, margin=0.14m [Extreme Razor]), Fail agent 5 at t=10",2054,9,28.0,False,,1023.3972557585663,Failed to Reconnect (Insufficient Span/Reach),False,67.0,856.2222288723965,Reconnect-then-Drift (51 post-reconnect disconnects)
7. Triple Simultaneous Failure,"N=11, d=180m, Fail agents [5, 6, 7] at t=10 (Adjacent Center Cluster)",2071,11,28.0,True,91.0,1223.4125718097064,Success (Stable),True,72.0,1223.6596848211875,Success (Stable)
7. Triple Simultaneous Failure,"N=11, d=180m, Fail agents [3, 6, 9] at t=10 (Uniformly Distributed)",2072,11,28.0,True,28.0,1224.3173519321178,Success with Oscillation (2 transient drops),True,70.0,1222.5216455441898,Success (Stable)
7. Triple Simultaneous Failure,"N=11, d=180m, Fail agents [2, 3, 4] at t=10 (Endpoint-Near Cluster at Ground A)",2073,11,28.0,False,,1055.7252485470794,Failed to Reconnect (Insufficient Span/Reach),True,122.0,1223.5062392017858,Success (Stable)
7. Triple Simultaneous Failure,"N=11, d=180m, Fail agents [4, 5, 8] at t=10 (Asymmetric Dual Cluster)",2074,11,28.0,True,70.0,1223.4972989851362,Success with Oscillation (2 transient drops),True,59.0,1222.6230212987557,Success with Oscillation (2 transient drops)
8. Adversarial Cut-Vertex Failure,"N=9, d=200m, Algorithmic Cut-Vertex Identification -> Adversarially selected Relay 2 (Immediate Gap: 50.0m)",2081,9,28.0,False,,355.2315252034441,Failed to Reconnect (Insufficient Span/Reach),False,,167.23068161980726,Failed to Reconnect (Insufficient Span/Reach)
8. Adversarial Cut-Vertex Failure,"N=11, d=200m, Algorithmic Cut-Vertex Identification -> Adversarially selected Relay 2 (Immediate Gap: 40.0m)",2082,11,28.0,True,44.0,1582.8073889341665,Success (Stable),True,24.0,1585.105896481078,Success with Oscillation (13 transient drops)
8. Adversarial Cut-Vertex Failure,"N=9, d=180m with Non-Uniform Spacing, Algorithmic Cut-Vertex -> Adversarially selected Relay 2 (Immediate Gap: 180.0m)",2083,9,28.0,True,63.0,1223.490303074643,Success (Stable),True,42.0,1223.3905516794334,Success (Stable)
8. Adversarial Cut-Vertex Failure,"N=11, d=210m (Tight Feasible Chain), Algorithmic Cut-Vertex -> Adversarially selected Relay 2 (Immediate Gap: 42.0m)",2084,11,28.0,True,62.0,1576.944936788891,Success (Stable),True,38.0,1576.9504324464453,Success (Stable)
9. Compound Stressors,"Non-Collinear (45° Diagonal) + Simultaneous Double Failure [4, 7] at t=10 (N=11, d=200m)",2091,11,28.0,True,56.0,1395.436124465495,Success (Stable),True,46.0,1395.7565326407378,Success (Stable)
9. Compound Stressors,"Tight-Margin Geometry (d=188m, Margin=1.0m) + Late-Timing Failure (t=80, N=9)",2092,9,28.0,True,63.0,1216.729097062041,Success (Stable),True,61.0,1216.5621180758246,Success (Stable)
9. Compound Stressors,"Non-Collinear (60° Diagonal) + Cascading Failure (Agent 5 at t=10, Agent 7 at t=30, N=11, d=200m)",2093,11,28.0,True,59.0,1396.3606781165686,Success (Stable),True,51.0,1396.505902198921,Success (Stable)
9. Compound Stressors,"Irregular Initial Jitter + Simultaneous Double Failure [4, 8] at t=10 (N=11, d=190m)",2094,11,28.0,True,41.0,1404.5342258694277,Success (Stable),True,24.0,1404.1295322898902,Success (Stable)
10. Irregular Initial Spacing,"N=9, d=180m, Random Transverse/Longitudinal Jitter (Seed 2101), Fail Agent 5 at t=10",2101,9,28.0,True,51.0,1223.5321879437552,Success (Stable),True,41.0,1223.307259476065,Success (Stable)
10. Irregular Initial Spacing,"N=9, d=185m, Alternating Zigzag Spacing (±7m offset), Fail Agent 4 at t=10",2102,9,28.0,False,,1053.9212139120186,Failed to Reconnect (Insufficient Span/Reach),False,,1054.5606451861995,Failed to Reconnect (Insufficient Span/Reach)
10. Irregular Initial Spacing,"N=11, d=190m, 2D Scatter Jitter along Corridor (Seed 2103), Fail Agent 6 at t=10",2103,11,28.0,False,45.0,1428.1331492756685,Reconnect-then-Drift (48 post-reconnect disconnects),True,28.0,1591.930378773574,Success (Stable)
10. Irregular Initial Spacing,"N=11, d=200m, Non-Uniform Clustered Formation (Wide Center Span), Fail Agent 5 at t=10",2104,11,28.0,False,,1407.9357912251103,Failed to Reconnect (Insufficient Span/Reach),False,,1415.946479236517,Failed to Reconnect (Insufficient Span/Reach)
11. Comm-Range Heterogeneity,"N=9, d=170m, 1 Degraded Relay (Agent 4 Rc=22.0m vs 28.0m), Fail Agent 6 at t=10",2111,9,28.0,False,72.0,1064.5165683248456,Reconnect-then-Drift (50 post-reconnect disconnects),False,60.0,890.087692113988,Reconnect-then-Drift (42 post-reconnect disconnects)
11. Comm-Range Heterogeneity,"N=9, d=165m, 2 Degraded Relays (Agents 3, 6 Rc=22.0m vs 28.0m), Fail Agent 5 at t=10",2112,9,28.0,False,,875.126455205014,Failed to Reconnect (Insufficient Span/Reach),False,76.0,1063.1835981851716,Reconnect-then-Drift (48 post-reconnect disconnects)
11. Comm-Range Heterogeneity,"N=11, d=180m, 2 Degraded Relays (Agents 4, 8 Rc=22.0m vs 28.0m), Fail Agent 6 at t=10",2113,11,28.0,False,30.0,1413.9495935070422,Reconnect-then-Drift (77 post-reconnect disconnects),True,57.0,1600.0981621870646,Success with Oscillation (2 transient drops)
11. Comm-Range Heterogeneity,"N=11, d=185m, 1 Severely Degraded Relay (Agent 5 Rc=20.0m vs 28.0m), Fail Agent 7 at t=10",2114,11,28.0,False,24.0,1252.42936478935,Reconnect-then-Drift (82 post-reconnect disconnects),True,25.0,1597.1250889497376,Success with Oscillation (64 transient drops)
